source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,anomaly_score
1227712107314688,43.1958678724688,1.9284232652848503,22.195474477475447,0.020028178,1400.2917654668809,0.022124128,-515.645437971644,0.01978163,13.919317,1.9648962,68.785904
3179036008830848,48.353258238212746,4.775200170986658,116.26781443397161,0.042744365,1741.8746105332423,0.04745122,86.49438435103424,0.0436992,12.101368,3.3437214,31.833893
4267552520347776,47.56392170930795,5.90623884657126,55.240631750607875,0.03284258,-122.2030270613495,0.03108993,-563.343416515233,0.027801622,10.885645,2.3352451,24.306768
5676885908994304,41.352598488305624,4.172447361624085,17.575924333295465,0.10273341,-220.05477886012076,0.11905996,-25.81119901750668,0.10468769,17.136904,3.798006,21.777653
769456276704128,47.51489911594037,2.572769511017299,53.084367738704444,0.04279742,180.20093187991495,0.041437715,-320.7204528643748,0.03281088,14.59925,3.4934063,17.992813
3591765186114816,46.89847669326504,4.635180996646655,18.632938005685148,0.07199388,151.3735677817152,0.081034,223.75181241220278,0.0756424,16.554417,3.5777893,17.060968
3124060427493120,48.43491248963329,4.5545015232378585,26.891276421914455,0.1582198,-56.45581996954451,0.17392814,-23.817230132959885,0.156006,17.931368,5.2273464,14.390207
2729232673961216,48.0987454059045,4.152218469777997,27.22482822494142,0.022574455,-65.58347145062514,0.03085897,-10.421652955437256,0.022619573,13.912968,2.5112991,13.764709
6158300203238656,40.80845764893851,5.471861161541998,13.299967845620873,0.10908491,581.3602086068054,0.12821822,-286.9868879336015,0.09767466,13.535733,1.7147818,12.462687
3499474928879104,46.59890035767369,4.547457736113798,25.77270514927296,0.026552645,-60.61903711896908,0.030652693,-34.15896329875357,0.026381684,14.565909,2.90829,11.1557665
9395983989903488,49.92276397591947,6.088955305792635,21.35967505032138,0.06454207,-135.62495366766413,0.078248024,-74.6659765686254,0.06967094,16.431263,3.5308123,10.808338
2673638617215104,47.141127549760796,4.149839471519029,24.693995770566485,0.02717645,24.410359105280023,0.029841794,61.95319693702417,0.027072296,13.973416,2.8923092,10.327945
4824553943618944,41.9323669446604,3.4891535484215206,11.268176891178086,0.09553035,11.62258960084325,0.118767135,120.32707936433589,0.10289075,17.157808,3.1189194,9.898944
6963383233077632,45.961700034802064,6.130449084390715,31.93352888220124,0.045300957,227.79416156462858,0.045487028,54.0002768615433,0.039846964,14.964418,-0.05897045,9.826043
74698071455360,44.726458253515965,0.5112728869230602,14.863119849432609,0.21610634,-77.83268266650842,0.24879196,15.265021343430247,0.21387665,18.841656,0.72904587,9.715426
1184723779331584,43.687526360345004,1.7998550595040883,18.725340537975022,0.43668145,14.592021759287494,0.51654553,43.40314186158207,0.4947815,19.473438,3.7307854,8.341286
4777171864805376,42.89727742325276,3.9564242628367334,15.365766212031346,0.60937846,-113.9135186377743,0.59905,-109.55584898241507,0.51880133,19.992142,4.020666,7.6170554
630505494719360,46.613135424105224,1.961063920576691,67.9335016849359,0.027434504,389.253050210783,0.023812708,-925.0262599814663,0.022991313,8.457596,1.7276907,7.450672
8978818111241728,45.01335855341644,9.179412503243952,15.66703323539886,0.021359673,119.31888889647209,0.022898681,137.49171172011035,0.020701682,9.785456,1.0267305,7.1955247
1292480214037760,44.11843694271478,2.1668869996551168,18.92895612358451,0.015011575,77.63185348435385,0.01665237,108.76845623777496,0.01498769,10.8086815,1.5631189,6.894902
3044517633119488,49.43932251149778,4.728179944230573,7.062635862723525,0.039403938,444.55944704665416,0.038723204,98.973529593574,0.03137803,15.409002,1.9103956,6.799366
2412092288843648,48.32717294402583,3.244266290024445,6.029101773398402,0.015699694,217.43202380933147,0.015359629,-173.67107647081315,0.01277974,12.134887,0.9041643,6.7895617
4310016861631104,46.91891477605682,6.110556672727135,14.952316689157875,1.8247516,-24.153676158164473,1.1770097,-39.81764351531016,1.0070862,20.495546,1.8518238,6.7883377
8637595844734848,46.20271822184332,8.505233329377184,1.492483941864507,0.029947342,157.5585414981989,0.03623491,-124.31241708231023,0.029500425,15.22663,1.0672417,6.587771
4984189288211840,42.22326648193585,4.17273700471477,17.58501923215187,0.073559925,61.71549368589258,0.10174652,73.43116870534747,0.13818698,16.774261,3.4057226,6.574222
4656161161454464,43.172876765171196,3.280493888667714,26.178666330889964,0.023640526,94.74775642516177,0.030992873,-12.536670757187045,0.022800753,11.286471,2.0483732,6.1069665
3557714685414400,47.565027456119445,4.676196434109449,17.80437228034772,0.035616487,120.78629141199298,0.035240386,125.55272808418877,0.031801097,14.994736,2.8232574,6.092937
5195574693899776,43.26631104919467,4.494088104764155,9.062392168882317,0.037834726,-81.58744814238075,0.035278663,28.561892333189103,0.03414237,15.303434,2.2957935,6.038673
5589058122238080,43.30005665124986,5.540973013674961,8.886738879817413,0.72458893,96.63636460952998,1.0743113,57.39642918193021,1.0594783,20.180094,1.2166023,6.0365076
2183668748454272,44.753144162297325,3.972805271056011,18.4049661406121,0.026395002,-51.32584292447959,0.026567977,-42.88458819595013,0.021719929,14.311949,2.4991455,5.8964057
452212812313984,45.0349266115007,1.6364715669582413,24.114540315165154,0.017830735,110.20616208545195,0.018741013,10.80673641248456,0.016886659,13.457018,2.5723238,5.7568197
1495713771471104,42.344198024687465,2.290798870593586,18.096820858739108,0.021987703,-62.33515005050842,0.022013066,-52.401036267285285,0.019491205,12.84212,2.263671,5.6360054
2953979722489088,49.287556517696146,4.693880451373025,13.42138414774409,0.055017646,282.77762752953925,0.05923805,167.62008970702553,0.047882378,16.20688,3.0999985,5.341676
1561242087619712,43.85014230124449,2.742210069087989,9.143450278246515,1.4042827,-9.312767066465085,1.9853193,42.743565325654714,2.104556,20.477995,0.072221756,5.2788672
5459972880651776,42.771742152036786,4.966524284707385,4.282401683611505,0.25528228,354.55414803186386,0.3122732,-68.36902834437231,0.3336293,18.950905,2.50638,5.2474017
3230025860552576,48.53228271353467,5.189214100373754,10.728126752226578,0.023681642,11.008402702627382,0.021079741,90.38983714499622,0.01896706,12.549242,1.60326,5.2280006
4849396034514176,41.97729224981558,3.705775798236599,4.9189383320598115,0.45787627,97.03816554897713,0.6429762,-0.9231329626845276,0.5842441,19.941332,0.28207397,5.12031
945618655155968,45.27443181364465,2.4898326879314023,5.478370974109317,0.058759946,14.870088018222788,0.06016299,-421.62900855245744,0.049946822,16.320408,1.9996023,5.1158175
2171363666556672,45.18735658909415,4.264549170655786,14.437475519976156,0.04362675,-87.97532973691872,0.049650587,-38.98696163952904,0.047174864,15.916947,3.031992,5.108246
6033677432164352,40.248546343406936,5.184092596790675,14.441913633807447,0.024984041,-6.840196811932976,0.034751523,41.20050716572198,0.025808262,14.727054,2.5850143,5.0070863
90022514620544,44.47393939053196,0.5705904546074978,12.112084739437083,0.2565499,95.65283985539753,0.4103083,90.65000876831164,0.28965187,17.909197,4.0347424,4.9529095
3503799960541184,46.36520301193364,4.4832217294374095,10.718580302486316,0.21262082,-127.38316522694927,0.22939295,-87.55900897029989,0.2112552,18.369171,3.8620872,4.8691406
4039124684681216,47.4509353841091,5.477561096187535,2.190592452557635,0.5085128,62.025024146563524,0.72158176,-66.51732717511415,0.7866487,20.179712,-0.031137466,4.8277164
8933398831764480,45.313837093067534,9.153814358177927,1.4718565254082578,0.16650833,119.54138594142022,0.15457332,-81.97855824574081,0.14122036,18.031471,1.6587658,4.6789956
4424331713344256,48.00141723147325,6.714959437129827,1.1658527225168447,0.51254064,112.35553466588847,0.55947536,-83.1082406229525,0.61434454,19.54134,1.9358292,4.631861
8977379297388032,44.95143867158044,9.148708999056563,1.6160611028532907,0.03523736,95.40461546942575,0.042597964,-24.04782903893875,0.035800204,15.061633,1.2634716,4.5766635
2469988448042240,48.14577281033098,3.4899799723216796,8.652274593887098,1.0485852,-60.13206324390528,1.0762279,-38.65107240977684,1.2272934,20.369833,1.1329803,4.497198
1155453577587072,43.726188251009376,1.6485541236514145,20.863944588570366,0.1299539,119.2185469475412,0.13157402,9.274773265491536,0.13034773,13.044759,2.574688,4.4765778
3416461801028736,46.783903987697094,4.023416508700321,11.600500838076213,0.067963354,-86.04500412128124,0.05761373,-26.80448123098417,0.04647268,14.1542425,2.2731056,4.46302
4307169298670464,46.77548689203329,5.987957106976739,23.64409500738743,0.09064698,43.22662779332991,0.10752,-95.98523484289592,0.097816795,16.755627,3.8279753,4.300854
1193966549325568,43.873043031677646,1.998075342917886,7.219501245790753,0.20936431,-60.84492661789608,0.21773414,24.653958731822236,0.20941713,18.233593,3.088873,4.140697
2555303678311296,46.84852338885407,3.228145311551643,18.14421123335435,0.07368891,112.80083558375027,0.075792685,-33.44483837344495,0.07359525,17.075752,-0.050352097,4.1241193
3252978165842816,49.4292257760849,5.138299572946018,1.872100251508004,0.028704094,131.60852630839435,0.0321609,-49.670981936782354,0.029632041,15.235301,1.1682014,4.1044135
2742216359630720,48.17580328951335,4.349630532348308,-9.285204073899187,2.090953,13.841236429294582,1.4952216,6.863359668599019,1.5048203,20.419868,1.847765,4.02432
1743000808216320,45.10456694653876,2.9042785609486246,8.456994300187338,0.01979508,29.89899715192888,0.020735953,94.09646041222076,0.017859206,9.690047,0.76559925,3.9931371
4076817317256576,47.88525592001016,5.878515464156639,4.201575079200884,0.10622144,135.9816170117973,0.11086253,-244.03471871028808,0.09056497,17.484028,1.9648399,3.9818647
4310536553002752,46.58722429583396,5.884957526855426,4.994278405049459,0.018714728,22.679711741941404,0.021031348,-301.1278148103535,0.019360725,11.310192,0.8773594,3.977001
4645161749535872,42.91214740831668,3.0439984408039535,7.437651137983388,1.0810627,28.91910825717305,1.0460873,41.833587462766154,1.1276011,20.57107,0.7328224,3.9260232
2449540108609280,48.76151701972266,3.6301177577201655,11.217398131999479,2.615949,-1.037471290693626,1.8097992,-4.634449265076017,2.1024368,20.74479,1.6536999,3.9036942
2283071471229952,47.71641711976612,2.821068144845524,14.372582762594643,0.025532985,-44.35535747930304,0.027782908,-25.643165264672668,0.025096996,15.002912,2.6512613,3.8817635
3387183009276032,46.64510629525426,3.797504734960796,-7.51560045579829,2.40873,14.72074743520497,1.7279384,-20.84566347569954,1.800728,20.7187,2.4785938,3.845661
2812658118657664,47.80923090505926,4.654694432381442,2.4212643853284113,0.034332287,91.74759224131495,0.03522743,-125.45723104611994,0.0295118,14.876701,1.2116232,3.7482393
3081454351848832,49.86829984153772,5.066472636560465,18.578192730345773,0.015851228,276.47390462952336,0.01848678,-454.4906824740712,0.016595932,12.596913,1.9054508,3.6971352
8355227514835072,44.08752410378846,7.846239535275003,2.324805428079091,0.028173167,66.80205624929663,0.029683845,-56.82900967986752,0.026899321,14.266466,1.349679,3.680884
473412770398592,45.56348956579511,1.849591354988565,4.182282641650176,0.036730874,108.34498203729217,0.040792197,82.1593946565891,0.036764916,15.787386,2.1524277,3.67888
111810883737728,44.930350761838525,0.784766394386908,11.441805634133182,0.5271798,8.243419385986822,0.5098515,-2.367075984954059,0.5318644,19.842781,2.5326443,3.650521
2207647550294528,44.45488739368647,4.298507422669031,3.9628353371991967,0.3704004,100.3265746269289,0.30608532,-274.56181391872184,0.2723275,18.996342,2.5586567,3.6327813
2261729778827776,47.95555167380535,2.6020804892607976,10.575363780784512,1.6736414,0.7466678807894702,1.8020214,-0.6644278764765122,1.6219987,20.651268,1.6201096,3.596417
752993666877568,47.573901049636945,2.3937078360318056,8.658125631550627,1.1235845,41.17778493906614,0.95769817,59.50948502247811,0.84202445,20.36581,1.502306,3.5104263
783337611024384,46.923034705308694,2.300104469194021,4.900882245660315,0.10501318,128.26679659728566,0.12417334,-299.17539951508235,0.12104908,17.750618,2.4467335,3.5095665
2689134858849152,47.872109205653494,3.912069536430521,5.936845923193653,1.3233881,36.93284016960436,1.9357829,60.62727872100473,2.0664208,20.76444,2.690878,3.4804745
2696625281708160,47.57793260109591,3.8656983952682444,1.354080141425612,0.4899722,93.86427077884318,0.490105,-66.67726969333563,0.41614494,19.583895,1.6691666,3.4799535
3740263680169984,45.495713295310196,4.733365339224084,-0.32458880566767323,1.5405343,88.4153937384317,1.1364478,-60.41693595404504,1.0642453,20.62038,1.8449535,3.4721687
3889316224944000,45.802437037605685,5.31221102718882,6.700317898891479,0.2252251,-34.70480052891406,0.27486998,-77.15163277767121,0.22657484,18.960201,0.32129478,3.4444351
1498874867586560,42.433416884064364,2.398332461754108,0.5118167917878791,0.8761829,96.128435636186,1.3724842,-11.095366367412222,1.0841824,20.578444,1.7778893,3.4360204
1425830358705024,42.75566381518906,2.013454183290677,12.597970348051607,0.017678017,-35.45529671560606,0.018160053,-5.134115465067503,0.015916867,10.961438,1.230506,3.4322853
4460654250021760,47.494707978615246,6.671452790446746,1.6220168771160532,0.09225264,80.71324060663099,0.105548374,-85.5649906899874,0.09312507,17.46955,1.692915,3.413155
3390481543223936,46.69755651771696,3.906761548130414,9.371963179138751,0.10941808,-102.02893375880774,0.10045993,-59.387320206325484,0.08780723,17.172195,2.9708805,3.410122
22505628703872,44.73152051987048,0.2885733349741117,1.2256039059837458,0.2579099,112.79204749883567,0.30457985,1.261330302576939,0.26741058,19.015398,1.7978535,3.407332
9476660655657216,51.281108329945006,6.6128843977445015,1.5039479849183333,0.09693548,25.945342555215596,0.111220375,-91.32611743808833,0.093635105,17.576735,1.8030224,3.38909
1893844355060224,46.13857064616887,3.716341710105192,9.112125967054018,0.018696912,110.66094873719092,0.020882983,114.71084891176427,0.019570021,14.159174,2.013937,3.3768864
208254375497984,45.936799582073185,1.3577610830107607,-7.558917882094974,3.3629117,-0.24615412204891418,2.10878,0.5601991106768726,1.9684464,20.730686,0.80462456,3.372069
1666451606509568,43.87646481932152,3.3087569023902565,9.823922549154592,2.6497543,0.9678703636860695,1.6696886,-4.485306903867085,2.0139506,20.784243,1.3138924,3.3290424
1425830358704768,42.7529857336048,2.016595544570301,12.229727789012838,0.07438663,-33.510791674995104,0.07551154,-1.740992061758096,0.064181924,13.82362,2.2947378,3.3103333
4954021437888256,42.228272878099965,3.995843961968972,5.130774111364091,0.7351809,53.76209040807451,0.7373483,-56.073413971019306,0.78613883,20.351652,0.10777283,3.297596
9965015617089792,51.306023328506086,7.40374526510844,2.559240005005012,0.08082862,3.6378361549543197,0.085352845,-198.95217868222227,0.07481259,16.784502,1.8331013,3.2873304
2048493242810496,43.908783435630376,3.497435535939538,13.49826376754997,0.038490012,-83.41582064805976,0.045155454,-70.072213330233,0.030943055,12.963537,2.1827269,3.279966
7450638682485888,46.36606021910143,6.916561915084748,2.2590152659211062,1.1904249,61.42800723031502,1.5818259,-88.6148782971384,1.23662,20.659779,1.3091316,3.27857
4775252014535296,42.65910965309851,3.936711713358366,6.1409674979320785,0.23545828,13.25857537607337,0.21851712,45.345950644271106,0.22585633,18.610048,0.3114395,3.2618272
1268321022907264,44.30777209360578,1.8809525492729866,20.69208036936749,0.118514515,100.38169055659466,0.109033905,-99.30982581190028,0.1026466,17.258162,0.6621723,3.250077
1719636187446528,44.91360811698265,2.774670658879586,-1.713921196283157,1.4583373,30.883222452852763,1.207654,-82.30070182827222,0.97651637,20.613071,1.5966969,3.2163854
1261796967786112,43.68908377736916,2.2649562577114772,11.78846928230527,0.023175227,-37.935022944359986,0.026119161,3.663208385197162,0.022468092,13.802598,2.3213587,3.2112901
1553614225692544,43.46263795346658,2.5109292046684297,12.141989987790488,0.1966983,-44.90713417286503,0.22540796,-30.845057113596237,0.18845665,15.921761,3.284871,3.2069123
3184666711033856,47.98078320355838,4.68570210245062,3.1134754868321686,0.1017561,176.57956899123786,0.103127725,-67.28633968817381,0.09278472,17.32152,1.9377899,3.206604
2942434850406528,48.97848586469497,4.428100277352232,1.9213769808835186,0.056578856,33.74965478041948,0.065343015,-137.64959078664455,0.062046155,16.630938,1.5161057,3.204625
6590988093375104,41.74330210122744,6.268215971606605,3.5472722537798913,0.10546538,91.36739196180956,0.12550984,-2.4242998544662857,0.103727564,17.475014,2.3362827,3.2015042
2098594035920512,44.10939698437503,3.8772457794148285,3.9084154758631673,0.024357678,146.43313975770852,0.024511447,-175.51935067634207,0.021523796,12.973154,0.9878626,3.1904552
7919301218776320,44.06592767446978,6.4076966227730106,1.1745012090339393,0.5298224,86.61728892792829,0.5373504,-13.267989265201269,0.58639395,19.841911,1.5535202,3.1728733
444786813276672,44.788590517712606,1.479304459029747,10.546997003453741,0.94937015,-11.793155549264673,0.9799374,-29.553482098919584,0.868554,20.345688,2.6012402,3.15758
6407919408572032,42.626079981483564,5.9030098769685235,2.500204082695721,1.2734421,96.59528269410012,1.6827536,8.190771081514518,1.4473999,20.633884,2.4103546,3.155917
